250최고,250최고가대비율,250최고가일,250최저,250최저가대비율,250최저가일,BPS,EPS,EV,PBR,PER,ROE,거래대비,거래량,결산월,고가,기준가,당기순이익,대비기호,대용가,등락율,매출액,상장주식,상한가,시가,시가총액,시가총액비중,신용비율,액면가,액면가단위,연중최고,연중최저,영업이익,예상체결가,예상체결수량,외인소진률,자본금,저가,전일대비,종목명,종목코드,하한가,현재가
+412000,-31.43,20170601,-280500,+0.71,20180405,468849,27784,13.11,0.60,10.17,1.6,+108.15,345,12,+283000,282000,62,2,203040,+0.18,1958,625,+366500,+283000,1765,,+0.02,5000,원,+308500,-280500,172,-0,0,+1.49,31,-281500,+500,BYC,001460,-197500,+282500
+88600,-16.14,20170424,-59200,+25.51,20170817,17654,583,9.69,4.21,127.44,-0.4,-99.81,162635,12,+75400,74700,100,5,55270,-0.54,17144,21161,+97100,+75300,15723,,+0.99,500,원,+80100,-64600,862,-0,0,+18.41,106,-72800,-400,CJ CGV,079160,-52300,-74300
+84500,-25.56,20170801,-58700,+7.16,20180413,58894,8273,,1.07,7.60,15.0,+145.10,198039,12,+63500,61900,6692,2,48280,+1.62,135717,70800,+80400,+62100,44533,,+0.08,500,원,+75500,-58700,8679,-0,0,+48.36,354,+62000,+1000,DB손해보험,005830,-43400,+62900
+13350,-10.11,20180205,-9200,+30.43,20171113,21773,1702,,0.55,7.05,8.0,-94.54,613087,12,+12300,12050,3163,5,9150,-0.41,18239,169146,+15650,12050,20297,,+0.12,5000,원,+13350,-10400,4092,-0,0,+63.46,8457,-11900,-50,DGB금융지주,139130,-8450,-12000
+12100,-45.45,20170419,-4125,+60.00,20170926,8780,603,10.27,0.75,10.95,3.9,+882.08,1654587,12,+6950,6230,50,2,4360,+5.94,1775,14400,+8090,6230,950,,+7.15,500,원,+6950,-4725,25,-0,0,+3.03,72,-6110,+370,DSR제강,069730,-4370,+6600
+69200,-11.56,20180112,-48500,+26.19,20170428,74138,5588,,0.83,10.95,10.2,-59.50,596697,12,+61400,59900,33435,2,46720,+2.17,113825,418112,+77800,+60300,255884,,+0.06,5000,원,+69200,-56100,40153,-0,0,+69.85,20906,+60200,+1300,KB금융,105560,-42000,+61200
+7600,-27.37,20170523,-4850,+13.81,20171017,7044,211,3.94,0.78,26.16,3.2,+224.51,71773,12,+5550,5540,94,5,3980,-0.36,3524,22435,+7200,+5550,1238,,+1.91,500,원,+6150,-5070,198,-0,0,+3.44,112,-5440,-20,KC그린홀딩스,009440,-3880,-5520
+82300,-13.61,20171030,-62200,+14.31,20170420,202798,14995,-3.24,0.35,4.74,1.7,0.00,0,12,0,71100,-72,3,51190,0.00,12213,3695,+92400,0,2627,,+0.41,5000,원,+76000,-63100,974,-0,0,+8.08,185,0,0,KISCO홀딩스,001940,-49800,71100
+7830,-9.71,20180319,-6030,+17.25,20180110,4009,436,8.79,1.76,16.22,10.7,+549.24,131284,12,+7240,7160,143,5,5290,-1.26,4037,30625,+9300,7160,2165,,+0.64,500,원,+7830,-6030,198,-0,0,+3.51,153,-7000,-90,LS전선아시아,229640,-5020,-7070
+8310,-20.10,20170607,-5890,+12.73,20171116,8617,1129,21.67,0.77,5.88,10.4,+121.86,17651,12,+6670,6630,43,2,4500,+0.15,520,7379,+8610,-6610,490,,+0.76,500,원,+6930,-5950,81,-0,0,+2.31,46,-6590,+10,MH에탄올,023150,-4650,+6640
+18400,-28.53,20170607,-12500,+5.20,20180425,36293,169,-3.04,0.36,77.81,1.1,-58.70,11545,12,+13150,13000,259,2,9620,+1.15,15082,16304,+16900,-12950,2144,,+0.09,500,원,+15950,-12500,606,-0,0,+11.17,84,-12850,+150,S&T홀딩스,036530,-9100,+13150
+288000,-20.66,20170802,-221000,+3.39,20180418,197799,23497,5.00,1.16,9.72,15.4,-75.46,143557,12,+228500,226500,26576,2,176670,+0.88,175200,80746,+294000,+228000,184504,,+0.11,500,원,+281500,-221000,15366,-0,0,+83.15,446,-225500,+2000,SK텔레콤,017670,-159000,+228500
+55300,-90.56,20170419,-4290,+21.68,20171221,0,0,4.34,0.00,0.00,-315.8,+137.23,315097,12,-5280,5290,7355,5,0,-1.32,2524,24837,+6870,-5230,1296,,0.00,2500,원,+7250,-4600,302,-0,0,+0.48,621,-5130,-70,STX중공업,071970,-3710,-5220
+5750,-15.74,20170601,-3950,+22.66,20180404,5183,499,6.80,0.93,9.71,4.8,+392.50,607886,12,+4915,4525,91,2,3250,+7.07,3399,32600,+5880,+4555,1579,,+3.12,500,원,+5100,-3950,113,-0,0,+6.06,163,+4555,+320,계양전기,012200,-3170,+4845
+3965,-29.63,20180309,-950,+193.68,20170420,1842,0,,1.51,0.00,-3.3,+106.06,202863,12,+2840,2815,-42,5,1800,-0.89,190,50694,+3655,2815,1414,,+1.43,1000,원,+3965,-1380,-61,-0,0,+5.04,520,-2775,-25,골든브릿지증권,001290,-1975,-2790
+17350,-2.88,20171222,-12100,+39.26,20170419,27282,1647,,0.62,10.23,8.0,-57.14,687651,12,+17100,16750,15085,2,13060,+0.60,80760,559979,+21750,+16900,94356,,+0.10,5000,원,+17250,-14600,20283,-0,0,+23.53,27999,+16800,+100,기업은행,024110,-11750,+16850
+5720,-27.27,20170605,-3805,+9.33,20170926,5548,207,197.97,0.75,20.10,-11.4,+244.65,136182,12,+4350,4210,-222,5,2940,-1.19,6599,37241,+5470,+4225,1549,,+1.18,5000,원,+4550,-4000,-253,-0,0,+2.27,1862,-4100,-50,깨끗한나라,004540,-2950,-4160
+38500,-22.21,20180423,-5900,+407.63,20171226,4150,0,121.21,7.22,0.00,4.1,+181.00,1790641,12,+32150,26050,17,2,16670,+14.97,1156,9826,+33850,+27500,2943,,0.00,5000,원,+38500,-5970,18,-0,0,+0.23,491,+27300,+3900,남광토건,001260,-18250,+29950
+20250,-9.88,20180419,-8440,+116.23,20171123,8004,302,19.01,2.28,60.43,6.6,+181.47,2902366,12,+19250,16450,267,2,12170,+10.94,11224,49679,+21350,+17400,9066,,+2.27,1000,원,+20250,-9990,281,-0,0,+4.42,497,+16850,+1800,남해화학,025860,-11550,+18250
