250최고,250최고가대비율,250최고가일,250최저,250최저가대비율,250최저가일,BPS,EPS,EV,PBR,PER,ROE,거래대비,거래량,결산월,고가,기준가,당기순이익,대비기호,대용가,등락율,매출액,상장주식,상한가,시가,시가총액,시가총액비중,신용비율,액면가,액면가단위,연중최고,연중최저,영업이익,예상체결가,예상체결수량,외인소진률,자본금,저가,전일대비,종목명,종목코드,하한가,현재가
+412000,-30.83,20170601,-280500,+1.60,20180405,468849,27784,13.16,0.61,10.26,1.6,+103.86,296,12,+285500,281500,62,2,202680,+1.24,1958,625,+365500,+284500,1780,,+0.06,5000,원,+308500,-280500,172,-0,0,+1.49,31,-281000,+3500,BYC,001460,-197500,+285000
+88600,-15.46,20170424,-59200,+26.52,20170817,17654,583,9.73,4.24,128.47,-0.4,-83.09,98452,12,+75900,74000,100,2,54760,+1.22,17144,21161,+96200,+74100,15850,,+1.02,500,원,+80100,-64600,862,-0,0,+18.81,106,74000,+900,CJ CGV,079160,-51800,+74900
+84500,-28.52,20170801,-58700,+2.90,20180413,58894,8273,,1.03,7.30,15.0,-87.31,89065,12,+60700,59900,6692,2,46720,+0.83,135717,70800,+77800,+60000,42763,,+0.08,500,원,+75500,-58700,8679,-0,0,+48.30,354,-59500,+500,DB손해보험,005830,-42000,+60400
+13350,-12.36,20180205,-9200,+27.17,20171113,21773,1702,,0.54,6.87,8.0,+116.91,425453,12,+11700,11650,3163,2,8850,+0.43,18239,169146,+15100,11650,19790,,+0.15,5000,원,+13350,-10400,4092,-0,0,+62.75,8457,-11500,+50,DGB금융지주,139130,-8200,+11700
+12100,-48.26,20170419,-4125,+51.76,20170926,8780,603,9.88,0.71,10.38,3.9,+116.61,795953,12,+6670,6410,50,5,4480,-2.34,1775,14400,+8330,+6560,901,,+6.58,500,원,+6670,-4725,25,-0,0,+1.49,72,-6140,-150,DSR제강,069730,-4490,-6260
+69200,-12.57,20180112,-46650,+29.69,20170413,74138,5588,,0.82,10.83,10.2,-99.02,1024315,12,+61300,60000,33435,2,46800,+0.83,113825,418112,+78000,+60700,252957,,+0.06,5000,원,+69200,-56100,40153,-0,0,+69.65,20906,-59900,+500,KB금융,105560,-42000,+60500
+7600,-27.76,20170523,-4850,+13.20,20171017,7044,211,3.92,0.78,26.02,3.2,+190.37,83056,12,+5530,5340,94,2,3840,+2.81,3524,22435,+6940,5340,1232,,+1.73,500,원,+6150,-5070,198,-0,0,+3.46,112,5340,+150,KC그린홀딩스,009440,-3740,+5490
+82300,-18.10,20171030,-61900,+8.89,20170417,202798,14995,-3.34,0.33,4.49,1.7,-60.10,3996,12,+68200,67600,-72,5,48670,-0.30,12213,3695,+87800,-67500,2491,,+0.17,5000,원,+76000,-63100,974,-0,0,+8.19,185,-67100,-200,KISCO홀딩스,001940,-47400,-67400
+7830,-6.00,20180319,-6030,+22.06,20180110,4009,436,9.15,1.84,16.88,10.7,-56.34,91056,12,+7430,7340,143,2,5430,+0.27,4037,30625,+9540,+7420,2254,,+0.68,500,원,+7830,-6030,198,-0,0,+3.47,153,-7320,+20,LS전선아시아,229640,-5140,+7360
+8310,-18.89,20170607,-5890,+14.43,20171116,8617,1129,21.74,0.78,5.97,10.4,+197.41,35173,12,+6770,6690,43,2,4540,+0.75,520,7379,+8690,6690,497,,+0.50,500,원,+6880,-5950,81,-0,0,+2.20,46,-6660,+50,MH에탄올,023150,-4690,+6740
+18400,-26.63,20170607,-13100,+3.05,20180411,36293,169,-2.99,0.37,79.88,1.1,+136.78,16412,12,+13750,13550,259,5,10020,-0.37,15082,16304,+17600,13550,2201,,+0.08,500,원,+15950,-13100,606,-0,0,+11.25,84,-13400,-50,S&T홀딩스,036530,-9500,-13500
+288000,-21.88,20170802,-221000,+1.81,20180418,197799,23497,4.95,1.14,9.58,15.4,-80.30,166968,12,+226000,222000,26576,2,173160,+1.35,175200,80746,+288500,+224000,181678,,+0.12,500,원,+281500,-221000,15366,-0,0,+82.85,446,222000,+3000,SK텔레콤,017670,-155500,+225000
+55300,-90.25,20170411,-4290,+25.64,20171221,0,0,4.44,0.00,0.00,-315.8,-93.04,494783,12,+5450,5180,7355,2,0,+4.05,2524,24837,+6730,-5160,1339,,0.00,2500,원,+7250,-4600,302,-0,0,+0.30,621,-5090,+210,STX중공업,071970,-3630,+5390
